id,plan_name,location,type,year,COVID.Funded through this plan,COVID.Unmet requirements,COVID.Total requirements,Funded through this plan,Unmet requirements,Total requirements
989,Liberia Intersectoral COVID Response Plan 2020,Liberia,Other,2020,7507918,49492082,5.7e+07,0,0,0
990,Mozambique COVID-19 2020,Mozambique,Other,2020,61669539,6435461,68105000,0,0,0
991,Pakistan Intersectoral COVID Response Plan 2020,Pakistan,Other,2020,89255809,56533069,145788878,0,0,0
992,Philippines Intersectoral COVID Response Plan 2020,Philippines,Other,2020,20562507,101204837,121767344,0,0,0
993,Sierra Leone Intersectoral COVID Response Plan 2020,Sierra Leone,Other,2020,20093035,42814690,62907725,0,0,0
994,Togo Intersectoral COVID Response Plan 2020,Togo,Other,2020,5190103,14567431,19757534,0,0,0
995,DPR Korea Intersectoral COVID Response Plan 2020,"Korea, Democratic People's Republic of",Other,2020,3501684,36190478,39692162,0,0,0
996,Global Operational Support COVID-19,Global,Other,2020,0,0,0,0,0,0
997,Cabo Delgado Province Mozambique Rapid Response Plan 2020,Mozambique,Other,2020,0,0,0,52136553,0,52136553
998,Bangladesh Intersectoral COVID-19 Response Plan 2020,Bangladesh,Other,2020,54099523,151835177,205934700,0,0,0
